,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,padj.IHW,log2fc.shrunk
lysA,358.837303837624,-0.979743091542006,0.135944366320568,-7.20694147215846,5.72225835225412e-13,2.07472738543156e-11,1.53138533046039e-11,-0.930530135145872
glnE,628.988103414733,-0.780098320881379,0.108711474826208,-7.17585997364571,7.1854069098409e-13,2.58064567035512e-11,2.29439026785717e-11,-0.752714590787109
waaO,42.6967156445341,4.07088653618622,0.569734785687724,7.14523079589089,8.98448047122406e-13,3.19662777139719e-11,2.8306846284671e-11,3.85338649645678
ygaY,571.972991174037,-0.816287439037883,0.114596515350907,-7.12314363607235,1.05492779418768e-12,3.71862047451156e-11,3.2929207180422e-11,-0.784937276202743
ebgA,972.334938214009,-0.636457138713681,0.0895425592444399,-7.1078729945191,1.17844923835747e-12,4.11592316552927e-11,3.65936872416069e-11,-0.620466848044321
pepP,154.569158577428,-1.44604111063801,0.204514030379112,-7.07062057286465,1.54242348348367e-12,5.33818745602029e-11,4.72154764311681e-11,-1.31988599103098
ascG,342.568805032574,-0.975024851198228,0.13796014908145,-7.06743837035564,1.57819797673574e-12,5.41279252020986e-11,4.7931475541623e-11,-0.924553502858649
uacT,760.330670457688,-0.692997008220445,0.0984994200314968,-7.03554404684665,1.98485001736806e-12,6.68701240364619e-11,4.97984691857521e-11,-0.672363539718968
aer,491.327435136211,-0.825491307293795,0.117071277992946,-7.05118558066426,1.77399704399166e-12,6.0300060236395e-11,5.28625222637882e-11,-0.792557006272045
tolC,74.8974506039024,2.19991362651103,0.314708869741866,6.9903133912796,2.74272883926903e-12,9.00135231991138e-11,6.7605859985491e-11,1.99703675230129
caiB,146.932183824491,-1.46460112716622,0.209175726056214,-7.00177384240378,2.52741836348589e-12,8.44024711385156e-11,7.43876923212986e-11,-1.3326824943727
hyaA,121.623116819125,-1.68608569764396,0.241976520327712,-6.9679723278956,3.21541449375981e-12,1.0373799133681e-10,7.7890644202285e-11,-1.51428201256166
yfjT,293.095770771476,-1.11140718599952,0.158962824890033,-6.99161698194759,2.71735906332314e-12,8.99563996006189e-11,7.82967007040886e-11,-1.04018112046916
bglA,786.555806860363,-0.670875603249729,0.0961408119228298,-6.97805219065787,2.99300482665619e-12,9.73877724365822e-11,8.53715506751662e-11,-0.651699852156511
ygdD,105.193883892437,-1.73645378256366,0.249281128725839,-6.96584531464243,3.26437667700786e-12,1.04407428919996e-10,9.23468225877188e-11,-1.55688410057197
yqeB,653.079883214726,-0.770716425159489,0.110660371515799,-6.96470122594385,3.29101430795889e-12,1.04407428919996e-10,9.23468225877188e-11,-0.742633527940429
yfjM,362.940131098164,-0.932996357262147,0.134189137098983,-6.95284564333948,3.57990329617568e-12,1.1263381693009e-10,9.97397373201902e-11,-0.886446753796734
csiR,231.527256774425,-1.15691863055731,0.167445542302591,-6.90922322952403,4.87314616847465e-12,1.52066126749041e-10,1.35198351827867e-10,-1.07671855489197
